,IsLeftObstacle,IsLeftLeftObstacle,IsForwardObstacle,IsForwardForwardObstacle,IsRightObstacle,IsRightRightObstacle,AngleWithFood,Direction,Decision
0,False,False,False,False,False,False,-0.7063704816556766,0,1
1,False,False,False,False,False,False,-0.7001520743616867,-1,1
2,False,True,False,False,False,False,0.7951672353008665,0,1
3,False,False,False,False,False,False,0.7902955256262518,0,1
4,False,False,False,False,False,False,0.7852232874772773,0,1
5,False,False,False,False,False,False,0.7799406208887412,-1,0
6,False,True,False,False,False,False,0.27353552666143804,-1,0
7,True,True,False,False,False,False,-0.22114206162369554,1,0
8,False,False,False,False,False,True,0.2726978709998604,1,1
9,False,False,False,False,True,True,0.7673451692339761,-1,0
10,False,True,False,False,False,False,0.2613633804938179,1,1
11,False,False,False,False,False,True,0.7557868148667222,-1,0
12,False,True,False,False,False,False,0.25,1,1
13,False,False,False,False,False,True,0.7442131851332778,-1,0
14,False,True,False,False,False,False,0.2386366195061821,0,0
15,False,False,False,False,False,False,0.23326229164342588,1,1
16,False,False,False,False,False,True,0.7273021290001396,-1,0
17,False,True,False,False,False,False,0.22214936802757884,1,1
18,False,False,False,False,False,True,0.7160249801873033,0,1
19,False,False,False,False,False,False,0.7097044743737482,-1,0
20,False,True,False,False,False,False,0.20483276469913345,0,0
21,False,False,False,False,False,False,0.20015207436168672,-1,0
22,False,True,False,False,False,False,-0.29362951834432344,0,0
23,False,False,False,False,False,False,-0.2875898601252948,0,0
24,False,False,False,False,False,False,-0.2817255174305536,-1,1
25,False,True,False,False,False,False,-0.7769111131948927,-1,1
26,True,True,False,False,False,False,0.7171881049234973,0,1
27,False,False,False,False,False,False,0.711104069125026,0,1
28,False,False,False,False,False,False,0.7048327646991335,0,1
29,False,False,False,False,False,False,0.6983705077811271,1,1
30,False,False,False,False,False,True,-0.7968164945637816,0,1
31,False,False,False,False,False,False,-0.7917990024368813,0,1
32,False,False,False,False,False,False,-0.7865663591954334,1,0
33,False,False,False,False,False,True,-0.2799406208887412,-1,1
34,False,True,False,False,False,False,-0.7744372519721975,1,0
35,False,False,False,False,False,True,-0.26799833497834513,-1,1
36,False,True,False,False,False,False,-0.7622366564542545,1,0
37,False,False,False,False,False,True,-0.2560051343703372,1,0
38,False,False,False,False,True,True,0.23821613112965861,0,0
39,False,False,False,False,False,False,0.23265483076602386,1,1
40,False,False,False,False,False,True,0.7264644733385621,-1,0
41,False,True,False,False,False,False,0.22114206162369554,0,0
42,False,False,False,False,False,False,0.2160249801873033,1,1
43,False,False,False,False,False,True,0.7097044743737482,-1,0
44,False,True,False,False,False,False,0.20483276469913345,0,0
45,False,False,False,False,False,False,0.20015207436168672,-1,0
46,False,True,False,False,False,False,-0.29362951834432344,-1,1
47,True,True,False,False,False,False,-0.7888959308749742,1,0
48,False,False,False,False,False,True,-0.2828118950765028,1,0
49,False,False,False,False,True,True,0.21241013987470522,-1,0
50,False,True,False,False,False,False,-0.2817255174305536,-1,1
51,True,True,False,False,False,False,-0.7769111131948927,0,1
52,False,False,False,False,False,False,-0.771917701272431,0,1
53,False,False,False,False,False,False,-0.7667377083565742,1,0
54,False,False,False,False,False,True,-0.260971855616011,-1,1
55,False,True,False,False,False,False,-0.755583811140301,1,0
56,False,False,False,False,False,True,-0.25,1,0
57,False,False,False,False,True,True,0.24460543371622687,1,-1
58,False,False,False,False,False,False,-0.8668750612523434,0,1
59,False,False,False,False,False,False,-0.862360330173156,-1,1
60,False,True,False,False,False,False,0.62740055798661,1,1
61,False,False,False,False,False,True,-0.8680583639285181,0,1
62,False,False,False,False,False,False,-0.8632024178546467,1,0
63,False,False,False,False,False,True,-0.35241638234956674,0,0
64,False,False,False,False,False,False,-0.3419837298646481,0,0
65,False,False,False,False,False,False,-0.3319086824248374,-1,1
66,False,True,False,False,False,False,-0.8259517062899768,0,1
67,False,False,False,False,False,False,-0.8196044872730639,0,1
68,False,False,False,False,False,False,-0.8128329581890013,-1,1
69,False,True,False,False,False,False,0.6764415560267378,1,1
70,False,False,False,False,False,True,-0.8165340691344631,0,1
71,False,False,False,False,False,False,-0.8089980848675286,1,0
72,False,False,False,False,False,True,-0.2978647121342451,1,0
73,False,False,False,False,True,True,0.19440011221421477,1,-1
74,False,False,False,True,False,False,0.21477671252272273,0,0
75,False,False,True,True,False,False,0.20970447437374815,1,1
76,True,True,False,False,False,True,0.7031835054362185,0,1
77,True,True,False,False,False,False,0.6964581215948281,0,1
78,True,True,False,False,False,False,0.6895248496963404,1,1
79,False,False,False,False,False,True,-0.8055998877857853,1,0
80,False,False,False,False,True,True,-0.2985897903475289,-1,1
81,False,True,False,False,False,False,-0.7934182974820382,0,1
82,False,False,False,False,False,False,-0.7880154078479497,-1,1
83,False,True,False,False,False,False,0.7048327646991335,1,1
84,False,False,False,False,False,True,-0.7895834241605656,0,1
85,False,False,False,False,False,False,-0.7837358689289318,1,0
86,False,False,False,False,False,True,-0.2764646760595899,-1,1
87,False,True,False,False,False,False,-0.7702901265572574,0,1
88,False,False,False,False,False,False,-0.763830849566662,0,1
89,False,False,False,False,False,False,-0.7570723890003151,0,1
90,False,False,False,False,False,False,-0.75,1,0
91,False,False,False,False,False,True,-0.24292761099968493,-1,1
92,False,True,False,False,False,False,-0.7355413210972233,0,1
93,False,False,False,False,False,False,-0.7278282605642791,0,1
94,False,False,False,False,False,False,-0.7197759331610806,0,1
95,False,False,False,False,False,False,-0.711372458510145,-1,1
96,False,True,False,False,False,False,0.7817255174305536,-1,0
97,True,True,False,False,False,False,0.27324953402843566,0,0
98,False,False,False,False,False,False,0.26514617218836817,0,0
99,False,False,False,False,False,False,0.2574012214103869,1,1
100,False,False,False,False,False,True,0.75,0,1
101,False,False,False,False,False,False,0.7422378831816868,1,1
102,False,False,False,False,False,True,-0.75,-1,1
103,False,True,False,False,False,False,0.74183999603119,-1,0
104,True,True,False,False,False,False,0.2340977487438236,1,1
105,False,False,False,False,False,True,0.7255627480278026,-1,0
106,False,True,False,False,False,False,0.21827448256944645,-1,0
107,True,True,False,False,False,False,-0.27324953402843566,0,0
108,False,False,False,False,False,False,-0.26514617218836817,0,0
109,False,False,False,False,False,False,-0.2574012214103869,-1,1
110,False,True,False,False,False,False,-0.75,1,0
111,False,False,False,False,False,True,-0.24259877858961312,-1,1
112,False,True,False,False,False,False,-0.7348538278116319,1,0
113,False,False,False,False,False,True,-0.227828260564279,1,0
114,False,False,False,False,True,True,0.26445867890277674,-1,0
115,False,True,False,False,False,False,-0.2288106953650536,1,0
116,False,False,False,False,False,True,0.263830849566662,0,0
117,False,False,False,False,False,False,0.25677152908406276,0,0
118,False,False,False,False,False,False,0.25,-1,0
119,False,True,False,False,False,False,-0.24350478151162547,1,0
120,False,False,False,False,False,True,0.25,0,0
121,False,False,False,False,False,False,0.24375942936624764,1,1
122,False,False,False,False,False,True,0.7372743886520082,-1,0
123,False,True,False,False,False,False,0.23129744075872333,-1,0
124,True,True,False,False,False,False,-0.26223665645425454,-1,-1
125,False,False,False,False,False,False,-0.27760967071172393,1,0
126,False,False,False,False,False,True,0.21626413107106832,1,1
127,False,False,False,False,True,True,0.7087144001601527,1,-1
128,False,False,False,False,False,False,0.8919998065101323,1,1
129,False,False,False,False,False,True,-0.5910530018557488,1,0
130,False,False,False,False,True,True,-0.08624506109307922,0,0
131,False,False,False,False,False,False,-0.08190868242483741,-1,1
132,False,True,False,False,False,False,-0.5660481002201554,1,0
133,False,False,False,False,False,True,-0.06283295818900118,-1,1
134,False,True,False,False,False,False,-0.5473931422774897,1,0
135,False,False,False,False,False,True,-0.045167235300866554,0,0
136,False,False,False,False,False,False,-0.04313981121347407,0,0
137,False,False,False,False,False,False,-0.04128559983984727,-1,1
138,False,True,False,False,False,False,-0.5276096707117239,0,1
139,False,False,False,False,False,False,-0.513830849566662,0,1
140,False,False,False,False,False,False,-0.5,-1,1
141,False,True,False,False,False,False,1.0,1,0
142,False,False,False,False,False,True,-0.4855413210972233,1,0
143,False,False,False,False,True,True,0.013830849566661979,-1,0
144,False,True,False,False,False,False,-0.4723903292882761,0,0
145,False,False,False,False,False,False,-0.4587144001601528,-1,1
146,False,True,False,False,False,False,-0.9568601887865259,-1,1
147,True,True,False,False,False,False,0.5288579383763045,1,1
148,False,False,False,False,False,True,-0.9697759331610806,-1,1
149,False,True,False,False,False,False,0.5151461721883682,1,1
150,False,False,False,False,False,True,-0.9840977487438237,1,0
151,False,False,False,False,True,True,-0.4682744825694465,-1,1
152,False,True,False,False,False,False,-0.9666166335694748,-1,1
153,True,True,False,False,False,False,0.5167377083565741,-1,-1
154,False,False,False,False,False,False,0.75,1,1
155,False,False,False,False,False,True,-0.7147767125227228,1,0
156,False,False,False,False,True,True,-0.1871670418109988,1,-1
157,False,False,False,False,False,False,-0.894302188680174,-1,1
158,False,True,False,False,False,False,0.5957858855496665,1,1
159,False,False,False,False,False,True,-0.9010061726970957,0,1
160,False,False,False,False,False,False,-0.8975836176504333,0,1
161,False,False,False,False,False,False,-0.8939250444417466,0,1
162,False,False,False,False,False,False,-0.8900062424748615,0,1
163,False,False,False,False,False,False,-0.8857997487800918,0,1
164,False,False,False,False,False,False,-0.8812743207258713,0,1
165,False,False,False,False,False,False,-0.8763943130154869,-1,1
166,False,True,False,False,False,False,0.6110172584549999,1,1
167,False,False,False,False,False,True,-0.8841418997801204,1,0
168,False,False,False,False,True,True,-0.3711189415908434,-1,1
169,False,True,False,False,False,False,-0.8654014149002547,-1,1
170,True,True,False,False,False,False,0.6211189415908434,0,1
171,False,False,False,False,False,False,0.6071669234399374,1,1
172,False,False,False,False,False,True,-0.8876396698268441,-1,1
